smiles_i,smiles_j,smiles_i_smiles_j_diff_mean,smiles_i_smiles_j_diff_var,has_label
CCCS(=O)(=O)NC1=CC=C(F)C(N2C=C(C3=CN=CN=C3)C3=NC(N(C)C4CCN(CCCCCCCCCC(=O)N5CCN(CC6=CC=C(CNC7=CC=CC8=C7C(=O)N(C7CCC(=O)NC7=O)C8=O)C=C6)CC5)CC4)=CC=C32)=C1F,CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCOCCCC2=CC=CC3=C2CN(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,-7.08,583.0,True
N#CC1=CC=C(O[C@@H]2C[C@@H]3CC[C@H](C2)N3C(=O)C2=CN=C(N3CCN(CCCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)N=C2)C=C1Cl,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C1=NC(C(=O)C2=CC=CC(OCCOCCOCC3=CN(CCCC(=O)N4CCN(CC[C@H](CSC5=CC=CC=C5)NC5=CC=C(S(=O)(=O)NC(=O)C6=CC=C(N7CCN(CC8=C(C9=CC=C(Cl)C=C9)CCC(C)(C)C8)CC7)C=C6)C=C5S(=O)(=O)C(F)(F)F)CC4)N=N3)=C2)=CS1)C1CCCCC1,16.95,575.5,True
CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCC(=O)N3CCN(CC[C@H](CSC4=CC=CC=C4)NC4=CC=C(S(=O)(=O)NC(=O)C5=CC=C(N6CCN(CC7=C(C8=CC=C(Cl)C=C8)CCC(C)(C)C7)CC6)C=C5)C=C4S(=O)(=O)C(F)(F)F)CC3)C(C)(C)C)C=C2)SC=N1,CCN(CCOC1=CC=C(C(=O)C2=C(C3=CC=C(O)C=C3)SC3=CC(O)=CC=C23)C=C1)CCN1CCN(CCCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](C)C2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)CC1,-10.09,574.0,False
CC[C@H](C)N1C=C(C)C2=C(C(=O)NCC3=C(C)C=C(C)[NH]C3=O)C=C(C3=CC=C(N4CCN(CCCCCCCCOC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)N=C3)C=C21,CC[C@H](C)[C@H](N)C1=CN([C@@H](CC2=CC=C(O)C=C2)C(=O)N2CCN(C3=NC(NCCOCCOCCOCC4=CN(CCOCCOCCOCCNC(=O)CN5CCN(C(=O)N6C(C7=CC=C(OC)C=C7OC(C)C)=N[C@@H](C7=CC=C(Cl)C=C7)[C@H]6C6=CC=C(Cl)C=C6)CC5=O)N=N4)=NC(N4CCN(C(=O)[C@H](CC5=CC=C(O)C=C5)N5C=C([C@@H](N)[C@@H](C)CC)N=N5)CC4)=N3)CC2)N=N1,12.664,570.0,False
CC1=CC=C(NC(=O)C2=CC=CC(C(F)(F)F)=C2)C=C1N1CC2=CN=C(NC3=CC=C(N4CCN(CC5=CN(CCCCCOC6=CC=CC7=C6C(=O)N(C6CCC(=O)NC6=O)C7=O)N=N5)CC4)N=C3)N=C2N(C)C1=O,NC(=O)CC[C@H](NC(=O)[C@@H]1CC[C@@H]2CCN(C(=O)CCCCCCCC3=CC=CC4=C3CN(C3CCC(=O)NC3=O)C4=O)C[C@H](NC(=O)C3=CC4=CC(C(F)(F)P(=O)(O)O)=CC=C4[NH]3)C(=O)N12)C(=O)NC(C1=CC=CC=C1)C1=CC=CC=C1,1.326,570.0,False
CC1=NC(NC2=NC=C(C(=O)NC3=C(C)C=CC=C3Cl)S2)=CC(N2CCN(C(=O)CCOCCOCCOCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC3=CC=C(C4=C(C)N=CS4)C=C3)C(C)(C)C)CC2)=N1,CC1=NN(C)C(COC2=CC=C(N3CCN(S(=O)(=O)N(C)C)CC3)C=C2)=C1C1=CC=CC2=C1N(CCN1CCN(C(=O)CCC(=O)NCCCOCCOCCOCCCNC(=O)COC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC1)C(C(=O)O)=C2CCCOC1=CC=CC2=CC=CC=C12,10.05,555.5,False
CCC1=CC2=C(C=C1N1CCC(N3CCN(C(=O)CCOCCOCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)CC1)C(C)(C)C1=C(C2=O)C2=CC=C(C#N)C=C2[NH]1,CN(CCCCCCNC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)CC[C@H](CSC1=CC=CC=C1)NC1=CC=C(S(=O)(=O)NC(=O)C2=CC=C(N3CCN(CC4=C(C5=CC=C(Cl)C=C5)CCC(C)(C)C4)CC3)C=C2)C=C1S(=O)(=O)C(F)(F)F,1.216,551.0,False
N#CC1=CC=C(O[C@@H]2C[C@@H]3CC[C@H](C2)N3C(=O)C2=CN=C(N3CCN(CCCCCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)N=C2)C=C1Cl,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C1=NC(C(=O)C2=CC=CC(OCCOCCOCCOCCOCC(=O)N3CCN(CC[C@H](CSC4=CC=CC=C4)NC4=CC=C(S(=O)(=O)NC(=O)C5=CC=C(N6CCN(CC7=C(C8=CC=C(Cl)C=C8)CCC(C)(C)C7)CC6)C=C5)C=C4S(=O)(=O)C(F)(F)F)CC3)=C2)=CS1)C1CCCCC1,12.01,551.0,False
CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCC(=O)N3CCN(CC4(C)CCC(C5=CC=C(Cl)C=C5)=C(CN5CCN(C6=CC=C(C(=O)NS(=O)(=O)C7=CC=C(N[C@H](CCN8CCOCC8)CSC8=CC=CC=C8)C(S(=O)(=O)C(F)(F)F)=C7)C=C6)CC5)C4)CC3)C(C)(C)C)C=C2)SC=N1,CN(C1=CC=C(C#N)C(Cl)=C1)[C@H]1CC[C@H](NC(=O)C2=CC=C(N3CC(N4CCN(C5=CC=C6C(=O)N(C7CCC(=O)NC7=O)C(=O)C6=C5)CC4)C3)C=C2)CC1,-11.97,545.0,False
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCCOCCCOC3=CC(F)=C([C@@H]4C5=C(C[C@@H](C)N4CC(C)(C)F)C4=CC=CC=C4[NH]5)C(F)=C3)C(C)(C)C)C=C2)SC=N1,CC[C@H](C)[C@H](N)C1=CN([C@@H](CC2=CC=C(O)C=C2)C(=O)N2CCN(C3=NC(NCCOCCOCCOCC4=CN(CCCCCC(=O)NC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)N=N4)=NC(N4CCN(C(=O)[C@H](CC5=CC=C(O)C=C5)N5C=C([C@@H](N)[C@@H](C)CC)N=N5)CC4)=N3)CC2)N=N1,8.73,542.5,False
CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCCCCC(=O)N3CCN(CC4(C)CCC(C5=CC=C(Cl)C=C5)=C(CN5CCN(C6=CC=C(C(=O)NS(=O)(=O)C7=CC=C(N[C@H](CCN8CCOCC8)CSC8=CC=CC=C8)C(S(=O)(=O)C(F)(F)F)=C7)C=C6)CC5)C4)CC3)C(C)(C)C)C=C2)SC=N1,CC1=C(N2CCC3(CCN(C4=CC=C(C(=O)N5CCC(N6CC7=CC8=C(C=C7C6)C(=O)N(C6CCC(=O)NC6=O)C8=O)CC5)C=C4)CC3)C2C)C=CC(C#N)=C1Cl,-8.95,540.5,False
N#CC1=CC=C(O[C@@H]2C[C@@H]3CC[C@H](C2)N3C(=O)C2=CN=C(N3CCN(CCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)N=C2)C=C1Cl,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C1=NC(C(=O)C2=CC=CC(OCCOCCOCCOCC3=CN(CCCC(=O)N4CCN(CC[C@H](CSC5=CC=CC=C5)NC5=CC=C(S(=O)(=O)NC(=O)C6=CC=C(N7CCN(CC8=C(C9=CC=C(Cl)C=C9)CCC(C)(C)C8)CC7)C=C6)C=C5S(=O)(=O)C(F)(F)F)CC4)N=N3)=C2)=CS1)C1CCCCC1,19.73,540.5,False
CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCCCC(=O)N3CCN(CC4(C)CCC(C5=CC=C(Cl)C=C5)=C(CN5CCN(C6=CC=C(C(=O)NS(=O)(=O)C7=CC=C(N[C@H](CCN8CCOCC8)CSC8=CC=CC=C8)C(S(=O)(=O)C(F)(F)F)=C7)C=C6)CC5)C4)CC3)C(C)(C)C)C=C2)SC=N1,C[C@H]1CC2(CCN(C3=CC=C(C(=O)N4CCC(CN5CC6=CC7=C(C=C6C5)C(=O)N(C5CCC(=O)NC5=O)C7=O)CC4)C=C3)CC2)CN1C1=CC=C(C#N)C(Cl)=C1,-12.12,540.0,False
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCNC(=O)C[C@@H]3N=C(C4=CC=C(Cl)C=C4)C4=C(SC(C)=C4C)N4C(C)=NN=C34)C(C)(C)C)C=C2)SC=N1,O=C(CCC(=O)NCCCC(=O)NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)NCCCCCC(=O)N1CCN(C2=NC(N3CCOCC3)=NC(N3C(C(F)F)=NC4=CC=CC=C43)=N2)CC1,1.536,539.0,False
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCN3C=C(COC4=CC5=NC=NC(NC6=CC=C(F)C(Cl)=C6)=C5C=C4NC(=O)/C=C/CN4CCCCC4)N=N3)C(C)(C)C)C=C2)SC=N1,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@H](C)[C@@H](O)C1=CC=CC=C1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)CCOCCOCCOCCNC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)C(C)C,-5.676,537.0,False
CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCC(=O)N3CCN(CC4(C)CCC(C5=CC=C(Cl)C=C5)=C(CN5CCN(C6=CC=C(C(=O)NS(=O)(=O)C7=CC=C(N[C@H](CCN8CCOCC8)CSC8=CC=CC=C8)C(S(=O)(=O)C(F)(F)F)=C7)C=C6)CC5)C4)CC3)C(C)(C)C)C=C2)SC=N1,CN(C1=CC=C(C#N)C(Cl)=C1)[C@H]1CC[C@H](NC(=O)C2=CC=C(N3CC(CN4CCN(C5=CC=C6C(=O)N(C7CCC(=O)NC7=O)C(=O)C6=C5)CC4)C3)C=C2)CC1,-11.88,535.0,False
CN(C1=NC=CC=C1CNC1=NC(NC2=CC=C(C(=O)NCC3=CN(CCOCCOCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)N=N3)C=C2)=NC=C1C(F)(F)F)S(C)(=O)=O,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C1=NC(C(=O)C2=CC=CC(OCCOCCOCCOCCNC(=O)C[C@@H]3N=C(C4=CC=C(Cl)C=C4)C4=C(SC(C)=C4C)N4C(C)=NN=C34)=C2)=CS1)C1CCCCC1,3.729,530.5,False
CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCC(=O)N3CCN(C[C@]4(C)CCC(C5=CC=C(Cl)C=C5)=C(CN5CCN(C6=CC=C(C(=O)NS(=O)(=O)C7=CC=C(N[C@H](CCN8CCOCC8)CSC8=CC=CC=C8)C(S(=O)(=O)C(F)(F)F)=C7)C=C6)CC5)C4)CC3)C(C)(C)C)C=C2)SC=N1,COC1(CN2CC3=CC4=C(C=C3C2)C(=O)N(C2CCC(=O)NC2=O)C4=O)CCN(C(=O)C2=CC=C(N3CCC4(CC3)C[C@H](C)N(C3=CC=C(C#N)C(Cl)=C3)C4)C=C2)CC1,-15.52,529.0,False
NC1=NC=C(C2=CC=C(S(=O)(=O)N3CCN(CCCCC4=CN(CCOCCOCCOCCOCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)N=N4)CC3)C=C2)N=C1C(=O)NC1=CC=CN=C1,C[C@@H]1CC2=C([NH]C3=CC=CC=C23)[C@@H](C2=CN=C(N3CCC(CCN4CCC5(CC4)CCN(C4=CC=C6C(=O)N(C7CCC(=O)NC7=O)CC6=C4)CC5)CC3)N=C2)N1CC(C)(C)F,2.201,524.5,False
COC1=CC(N2CCC(NC(=O)CCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC3=CC=C(C4=C(C)N=CS4)C=C3)C(C)(C)C)CC2)=CC=C1NC1=NC=C(Cl)C(NC2=CC=CC=C2P(C)(C)=O)=N1,CC1=NC2=C(F)C=C(C3=NC(NC4=CC=C(CN5CCN(CC6=CN(CCOCCOCCOCCOCCNC7=CC=CC8=C7C(=O)N(C7CCC(=O)NC7=O)C8=O)N=N6)CC5)C=N4)=NC=C3F)C=C2N1C(C)C,5.234,523.0,False
CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCCCCC(=O)NCC3(C)CCC(C4=CC=C(Cl)C=C4)=C(CN4CCN(C5=CC=C(C(=O)NS(=O)(=O)C6=CC=C(N[C@H](CCN7CCOCC7)CSC7=CC=CC=C7)C(S(=O)(=O)C(F)(F)F)=C6)C=C5)CC4)C3)C(C)(C)C)C=C2)SC=N1,N#CC1=CC=C(O[C@@H]2C[C@@H]3CC[C@H](C2)N3C(=O)C2=CN=C(N3CCN(CCCCNC4=CC=C5C(=O)N(C6CCC(=O)NC6=O)C(=O)C5=C4)CC3)N=C2)C=C1Cl,-11.24,522.5,False
CC1=NOC([C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](CC(=O)N2CCC(N3CCC(C#CC4=CC=C(N5C(=S)N(C6=CC=C(C#N)C(C(F)(F)F)=C6)C(=O)C5(C)C)C=C4)CC3)CC2)C2=CC=C(C3=C(C)N=CS3)C=C2)C(C)C)=C1,CCN(CCCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C1=CC=C(C2=C(C)N=CS2)C=C1)C(C)(C)C)CCOC1=CC=C(C(=O)C2=C(C3=CC=C(O)C=C3)SC3=CC(O)=CC=C23)C=C1,-7.465,519.5,False
CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCC(=O)N3CCN(CC[C@H](CSC4=CC=CC=C4)NC4=CC=C(S(=O)(=O)NC(=O)C5=CC=C(N6CCN(CC7=C(C8=CC=C(Cl)C=C8)CCC(C)(C)C7)CC6)C=C5)C=C4S(=O)(=O)C(F)(F)F)CC3)C(C)(C)C)C=C2)SC=N1,CCN(CCCCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C1=CC=C(C2=C(C)N=CS2)C=C1)C(C)(C)C)CCOC1=CC=C(C(=O)C2=C(C3=CC=C(O)C=C3)SC3=CC(O)=CC=C23)C=C1,-7.637,518.0,False
CC(=O)C1=C(C)C2=CN=C(NC3=CC=C(N4CCN(C(=O)CCCCCOCCOCCOCCOCCOCCOCCCCCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)C=N3)N=C2N(C2CCCC2)C1=O,CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NCCOCCOCCOCCOCCNC(=O)CN1CCOC3=CC(N(CCC#N)C(=O)CCl)=CC=C31)N=C2C1=CC=C(Cl)C=C1,0.904,517.5,False
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NCCOCCOCCN3C=C(CN4CCN(C5=CC=C(NC6=CC7=C(N8CCC(CO)CC8)N=C(NC8=CC=C(F)C=C8)N=C7C=N6)N=C5)CC4)N=N3)C(C)(C)C)C=C2)SC=N1,C=CC(=O)NC1=CC=CC(N2C(=O)C=C(C)C3=CN=C(NC4=CC=C(N5CCN(C(=O)CCCCCCCCCCC(=O)NC6=CC=CC7=C6C(=O)N(C6CCC(=O)NC6=O)C7=O)CC5)C=C4OC)N=C32)=C1,-4.906,514.0,False
CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCCCCCCC(=O)NCC3(C)CCC(C4=CC=C(Cl)C=C4)=C(CN4CCN(C5=CC=C(C(=O)NS(=O)(=O)C6=CC=C(N[C@H](CCN7CCOCC7)CSC7=CC=CC=C7)C(S(=O)(=O)C(F)(F)F)=C6)C=C5)CC4)C3)C(C)(C)C)C=C2)SC=N1,N#CC1=CC=C(O[C@@H]2C[C@@H]3CC[C@H](C2)N3C(=O)C2=CN=C(N3CCN(CCCCCCCNC4=CC=C5C(=O)N(C6CCC(=O)NC6=O)C(=O)C5=C4)CC3)N=C2)C=C1Cl,-12.11,513.5,False
C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)NCCCCCCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)CC[C@H]1C,CC[C@@H]1C2=NN=C(C)N2C2=CN=C(NC3=CC=C(C(=O)NC4CCN(C(=O)CCCCCNC5=CC=CC6=C5CN(C5CCC(=O)NC5=O)C6=O)CC4)C=C3OC)N=C2N1CC1CCCCC1,8.23,512.0,False
